patient	GATA3	FOXA1
TCGA.BH.A0BP.01	1.10275	2.74925
TCGA.BH.A0BQ.01	2.26775	2.942875
TCGA.BH.A0BR.01	1.592375	3.032875
TCGA.BH.A0BS.01	2.069125	3.782875
TCGA.BH.A0BT.01	2.49675	3.1795
TCGA.BH.A0C1.01	2.009875	3.867125
TCGA.BH.A0DE.01	1.4705	2.808375
TCGA.BH.A0DG.01	1.63175	3.075375
TCGA.BH.A0DI.01	1.21325	2.400625
TCGA.BH.A0DO.01	1.71375	3.616125
TCGA.BH.A0DT.01	2.142125	2.903375
TCGA.BH.A0DX.01	2.023625	3.33075
TCGA.BH.A0E9.01	2.481125	3.602625
TCGA.BH.A0EI.01	2.871375	3.484625
TCGA.BH.A0H3.01	2.68275	3.064625
TCGA.BH.A0H5.01	1.54275	2.4415
TCGA.BH.A0HA.01	2.64875	3.13525
TCGA.BH.A0W4.01	2.77425	3.82325
TCGA.BH.A0W5.01	1.7285	2.67875
TCGA.BH.A0W7.01	1.70625	2.9745
TCGA.BH.A18H.01	1.290875	2.7135
TCGA.BH.A18I.01	2.5085	3.349
TCGA.C8.A12N.01	2.95175	3.582
TCGA.C8.A12O.01	0.19925	2.69225
TCGA.C8.A12Y.01	1.836375	3.419
TCGA.C8.A132.01	1.505625	3.534375
TCGA.C8.A133.01	2.975375	3.435125
TCGA.C8.A1HI.01	2.051	3.58425
TCGA.D8.A141.01	1.586125	2.79375
TCGA.E2.A14Q.01	2.859125	3.339375
TCGA.E2.A14T.01	2.690375	3.073625
TCGA.E2.A14Z.01	2.57	3.482
TCGA.E2.A153.01	1.361625	2.572875
TCGA.E2.A154.01	2.954125	4.25375
TCGA.E2.A156.01	2.618625	4.07725
TCGA.E2.A15C.01	1.529625	3.110125
TCGA.E2.A15D.01	2.908375	3.1835
TCGA.E2.A15E.01	NA	NA
TCGA.E2.A15F.01	2.11025	2.498875
TCGA.E2.A15G.01	2.94025	3.8415
TCGA.E2.A15H.01	2.69325	2.89025
TCGA.E2.A15I.01	2.858625	3.8225
TCGA.E2.A15J.01	2.026875	2.80575
TCGA.E2.A15O.01	2.22775	3.452
TCGA.E2.A15P.01	1.69675	3.077
TCGA.E2.A15R.01	2.822125	3.5155
TCGA.E2.A1B1.01	1.2435	2.548125
TCGA.E2.A1B4.01	3.046875	4.148
TCGA.E2.A1B6.01	0.148625	2.021
TCGA.E2.A1BC.01	1.471	3.176875
TCGA.E2.A1BD.01	1.700875	3.427875
TCGA.A2.A0SV.01	1.83325	2.591375
TCGA.AO.A03O.01	2.266	3.43475
TCGA.A2.A0SW.01	0.3605	2.886
TCGA.B6.A0WW.01	1.886	3.56475
TCGA.BH.A18J.01	2.249125	3.805125
TCGA.BH.A18L.01	1.34175	3.66275
TCGA.A8.A06X.01	3.715125	3.21975
TCGA.B6.A0IC.01	2.378	4.31625
TCGA.BH.A18U.01	1.67825	3.258125
TCGA.BH.A1EW.01	1.51075	2.995
TCGA.AR.A0TY.01	1.585625	3.066875
TCGA.B6.A0X5.01	1.903	3.849875
TCGA.B6.A0WV.01	2.64725	3.373125
TCGA.B6.A0RL.01	3.48275	3.9565
TCGA.AR.A0U2.01	1.864375	3.082
TCGA.B6.A0IB.01	2.52325	3.555
TCGA.AO.A0J7.01	2.46925	3.915875
TCGA.AO.A0J3.01	3.5125	4.636
TCGA.D8.A13Y.01	-1.038625	2.59525
TCGA.A7.A13F.01	2.2625	2.817875
TCGA.BH.A0HU.01	1.296375	3.167
TCGA.D8.A140.01	2.718875	3.48825
TCGA.A7.A0CJ.01	2.42025	3.9515
TCGA.AQ.A04H.01	2.856	3.619125
TCGA.BH.A0H0.01	2.64125	3.366625
TCGA.BH.A0BD.01	2.478125	2.479375
TCGA.A2.A0T3.01	2.118875	3.60475
TCGA.A2.A0T4.01	2.364625	3.07425
TCGA.A2.A0YH.01	2.021875	2.646625
TCGA.A2.A0YG.01	1.4315	3.47125
TCGA.A2.A0EY.01	1.220375	3.3535
TCGA.A2.A0D4.01	2.135	3.660125
TCGA.BH.A0AY.01	2.022125	2.98475
TCGA.E2.A107.01	2.38775	3.468625
TCGA.AO.A0JI.01	2.972	3.4495
TCGA.E2.A10C.01	1.787375	3.079375
TCGA.E2.A10A.01	3.546125	4.29575
TCGA.BH.A0C0.01	2.249875	2.52675
TCGA.E2.A109.01	1.81625	3.81325
TCGA.AO.A0JC.01	0.783375	1.543875
TCGA.BH.A0HW.01	2.47925	4.040125
TCGA.AO.A0JD.01	1.52525	2.893125
TCGA.AO.A0JM.01	2.260625	3.359875
TCGA.A2.A0CW.01	1.543125	3.541125
TCGA.A2.A0ER.01	2.947375	3.88925
TCGA.A2.A0CT.01	2.977875	3.429625
TCGA.AO.A12B.01	2.00225	4.188375
TCGA.A2.A04R.01	2.646375	3.55475
TCGA.B6.A0IM.01	2.46625	3.504
TCGA.AO.A03P.01	2.763375	3.687125
TCGA.A1.A0SM.01	1.8045	3.763
TCGA.A8.A06N.01	3.31925	4.689625
TCGA.A8.A06O.01	0.788125	3.173375
TCGA.A8.A06Q.01	0.8905	2.758
TCGA.A8.A06R.01	1.100625	2.949875
TCGA.A8.A06Z.01	1.44025	3.746625
TCGA.A8.A079.01	2.59625	3.198875
TCGA.A8.A07L.01	2.15475	3.441625
TCGA.A8.A07S.01	2.733375	3.9515
TCGA.A8.A07W.01	0.88925	2.949375
TCGA.A8.A07Z.01	3.146	3.680625
TCGA.A8.A082.01	2.340375	3.300375
TCGA.A8.A084.01	2.325375	3.942
TCGA.A8.A085.01	2.07175	3.36375
TCGA.A8.A08F.01	1.50675	2.805
TCGA.A8.A08G.01	3.3445	3.896375
TCGA.A8.A08I.01	1.404625	3.39575
TCGA.A8.A08P.01	0.919875	2.66125
TCGA.A8.A095.01	2.12175	3.491
TCGA.A8.A096.01	1.455	3.614875
TCGA.A8.A097.01	1.271125	2.899625
TCGA.A8.A09C.01	2.1285	3.743
TCGA.A8.A09D.01	2.2375	2.377875
TCGA.A8.A09I.01	2.349625	3.142125
TCGA.A8.A09M.01	0.92275	2.8365
TCGA.A8.A09N.01	2.12075	3.975125
TCGA.A8.A09Q.01	1.640375	2.931375
TCGA.A8.A09R.01	1.9755	3.37
TCGA.A8.A09W.01	1.120125	3.011125
TCGA.A8.A09Z.01	2.449875	2.37975
TCGA.A8.A0A9.01	1.9605	3.797375
TCGA.A8.A0AB.01	2.494375	3.979
TCGA.AN.A03Y.01	3.0045	4.235
TCGA.AN.A041.01	2.470625	3.664125
TCGA.AN.A049.01	2.16725	3.3425
TCGA.AN.A0AJ.01	1.624375	3.11325
TCGA.AN.A0AK.01	2.239125	3.876875
TCGA.AN.A0AM.01	1.8045	2.60775
TCGA.AN.A0AS.01	1.28725	3.200125
TCGA.AN.A0FF.01	3.17075	3.559625
TCGA.AN.A0FK.01	2.371375	3.797125
TCGA.AN.A0FY.01	2.180125	3.39025
TCGA.AN.A0XR.01	2.277375	3.847
TCGA.AN.A0XW.01	1.39775	3.33475
TCGA.AR.A0TQ.01	2.836875	3.086875
TCGA.AR.A0TT.01	2.474125	2.999875
TCGA.AR.A0TV.01	1.9925	2.965375
TCGA.AR.A0TZ.01	3.293375	3.419125
TCGA.AR.A0U3.01	2.77875	4.12675
TCGA.AR.A1AV.01	1.56525	2.93575
TCGA.BH.A0AU.01	1.532875	2.933625
TCGA.BH.A0B5.01	2.021625	3.531375
TCGA.BH.A0BF.01	1.227125	1.9515
TCGA.BH.A0BZ.01	0.64625	2.232875
TCGA.BH.A0C3.01	-0.572125	2.191
TCGA.BH.A0C7.01	2.596125	3.224125
TCGA.BH.A0DD.01	2.394	3.4205
TCGA.BH.A0W3.01	1.984125	4.191625
TCGA.BH.A18F.01	1.614625	2.7555
TCGA.C8.A12M.01	3.4275	4.182
TCGA.C8.A12U.01	2.425125	2.997375
TCGA.C8.A12W.01	2.067875	2.778375
TCGA.C8.A12X.01	3.001875	3.327
TCGA.C8.A1HG.01	1.006375	2.309375
TCGA.C8.A1HL.01	1.687	3.16925
TCGA.C8.A1HM.01	1.837	3.01775
TCGA.C8.A1HN.01	2.455625	3.216875
TCGA.E2.A14O.01	1.90875	3.3255
TCGA.E2.A14S.01	2.626875	3.568375
TCGA.E2.A14W.01	1.998375	3.2805
TCGA.E2.A155.01	3.496625	3.1155
TCGA.E2.A15A.01	NA	NA
TCGA.E2.A15K.01	NA	NA
TCGA.E2.A15L.01	1.9105	3.18475
TCGA.E2.A15M.01	1.683125	3.101375
TCGA.E2.A15S.01	2.620375	4.494625
TCGA.E2.A15T.01	3.38675	5.01
TCGA.AO.A03U.01	-0.996375	-3.398375
TCGA.B6.A0IE.01	1.360875	3.000125
TCGA.A2.A0YK.01	1.426125	2.910625
TCGA.E2.A108.01	1.02575	1.427375
TCGA.AO.A0JB.01	2.069875	2.172625
TCGA.AO.A03R.01	2.84425	2.89575
TCGA.AO.A03T.01	2.177375	2.9365
TCGA.AR.A1AO.01	-1.234375	0.302125
TCGA.A2.A0YT.01	1.498125	2.6315
TCGA.AQ.A0Y5.01	NA	NA
TCGA.EW.A1P8.01	NA	NA
TCGA.E2.A1LK.01	NA	NA
TCGA.BH.A1EY.01	NA	NA
TCGA.BH.A1F8.01	NA	NA
TCGA.BH.A1F2.01	NA	NA
TCGA.BH.A1FD.01	NA	NA
TCGA.BH.A1FH.01	NA	NA
TCGA.BH.A203.01	NA	NA
TCGA.BH.A1FM.01	NA	NA
TCGA.BH.A1EX.01	NA	NA
TCGA.BH.A1FL.01	NA	NA
TCGA.BH.A208.01	NA	NA
TCGA.GM.A2D9.01	NA	NA
TCGA.BH.A1FJ.01	NA	NA
TCGA.BH.A1EN.01	NA	NA
TCGA.BH.A1FN.01	NA	NA
TCGA.BH.A1FU.01	NA	NA
TCGA.BH.A1FE.01	NA	NA
TCGA.BH.A204.01	NA	NA
TCGA.BH.A1F5.01	NA	NA
TCGA.AR.A256.01	NA	NA
TCGA.BH.A1F6.01	NA	NA
TCGA.BH.A1FC.01	NA	NA
TCGA.BH.A1FB.01	NA	NA
TCGA.BH.A1FG.01	NA	NA
TCGA.BH.A209.01	NA	NA
TCGA.BH.A1FR.01	NA	NA
TCGA.AO.A1KS.01	NA	NA
TCGA.A7.A13G.01	NA	NA
TCGA.D8.A1JS.01	NA	NA
TCGA.A7.A0DC.01	NA	NA
TCGA.D8.A1JT.01	NA	NA
TCGA.A7.A26E.01	NA	NA
TCGA.D8.A1JH.01	NA	NA
TCGA.D8.A1JU.01	NA	NA
TCGA.AO.A1KO.01	NA	NA
TCGA.AO.A1KT.01	NA	NA
TCGA.AO.A0J5.01	3.149875	3.10625
TCGA.B6.A1KC.01	NA	NA
TCGA.AO.A1KQ.01	NA	NA
TCGA.B6.A1KI.01	NA	NA
TCGA.AO.A1KP.01	NA	NA
TCGA.B6.A1KF.01	NA	NA
TCGA.B6.A1KN.01	NA	NA
TCGA.D8.A1XO.01	NA	NA
TCGA.D8.A1XT.01	NA	NA
TCGA.A1.A0SP.01	-3.14325	0.074375
